Hour	Lane 1 Flow (Veh/Hour)	Lane 2 Flow (Veh/Hour)	Flow (Veh/Hour)	# Lane Points	% Observed
07/23/2014 00:00	57	158	215	24	100
07/23/2014 01:00	23	143	166	24	100
07/23/2014 02:00	23	95	118	24	100
07/23/2014 03:00	37	103	140	24	100
07/23/2014 04:00	27	102	129	24	100
07/23/2014 05:00	45	122	167	24	100
07/23/2014 06:00	51	175	226	24	100
07/23/2014 07:00	92	196	288	24	100
07/23/2014 08:00	151	297	448	24	100
07/23/2014 09:00	208	363	571	24	100
07/23/2014 10:00	307	396	703	24	100
07/23/2014 11:00	382	481	863	24	100
07/23/2014 12:00	433	483	916	24	100
07/23/2014 13:00	446	545	991	24	83
07/23/2014 14:00	473	558	1031	24	83
07/23/2014 15:00	262	432	694	24	100
07/23/2014 16:00	259	392	651	24	100
07/23/2014 17:00	409	499	908	24	100
07/23/2014 18:00	245	390	635	24	100
07/23/2014 19:00	169	350	519	24	100
07/23/2014 20:00	146	318	464	24	100
07/23/2014 21:00	115	246	361	24	100
07/23/2014 22:00	114	264	378	24	100
07/23/2014 23:00	176	276	452	24	100
07/24/2014 00:00	64	180	244	24	100
07/24/2014 01:00	50	145	195	24	100
07/24/2014 02:00	40	115	155	24	100
07/24/2014 03:00	24	100	124	24	100
07/24/2014 04:00	22	106	128	24	100
07/24/2014 05:00	28	115	143	24	100
07/24/2014 06:00	136	217	353	24	100
07/24/2014 07:00	85	232	317	24	100
07/24/2014 08:00	110	284	394	24	100
07/24/2014 09:00	171	363	534	24	100
07/24/2014 10:00	270	409	679	24	100
07/24/2014 11:00	342	491	833	24	100
07/24/2014 12:00	432	520	952	24	100
07/24/2014 13:00	412	514	926	24	100
07/24/2014 14:00	450	525	975	24	100
07/24/2014 15:00	491	540	1031	24	100
07/24/2014 16:00	442	549	991	24	100
07/24/2014 17:00	355	454	809	24	100
07/24/2014 18:00	331	478	809	24	100
07/24/2014 19:00	264	393	657	24	100
07/24/2014 20:00	232	378	610	24	100
07/24/2014 21:00	179	330	509	24	100
07/24/2014 22:00	127	273	400	24	100
07/24/2014 23:00	84	222	306	24	100
07/25/2014 00:00	67	174	241	24	100
07/25/2014 01:00	49	151	200	24	100
