District	County	State PM	Abs PM	Length	Latitude	Longitude
1	Box Elder	397.777	397.777	0	41.96479	-112.18048
1	Box Elder	397.749	397.749	.027	41.9644	-112.18039
1	Box Elder	397.679	397.679	.071	41.96338	-112.18029
1	Box Elder	397.608	397.608	.07	41.96236	-112.18022
1	Box Elder	397.561	397.561	.047	41.96168	-112.18017
1	Box Elder	397.515	397.515	.046	41.96101	-112.1801
1	Box Elder	397.468	397.468	.046	41.96034	-112.18001
1	Box Elder	397.422	397.422	.047	41.95967	-112.1799
1	Box Elder	397.352	397.352	.07	41.95867	-112.1797
1	Box Elder	397.305	397.305	.047	41.958	-112.17955
1	Box Elder	397.282	397.282	.023	41.95768	-112.17944
1	Box Elder	397.213	397.213	.069	41.9567	-112.17918
1	Box Elder	397.168	397.168	.045	41.95606	-112.17897
1	Box Elder	397.1	397.1	.068	41.95511	-112.17863
1	Box Elder	397.01	397.01	.09	41.95385	-112.17817
1	Box Elder	396.746	396.746	.264	41.95016	-112.17678
1	Box Elder	396.612	396.612	.134	41.94829	-112.17608
1	Box Elder	396.453	396.453	.158	41.94608	-112.17526
1	Box Elder	396.339	396.339	.114	41.94448	-112.17469
1	Box Elder	396.325	396.325	.014	41.94428	-112.17463
1	Box Elder	396.226	396.226	.099	41.94288	-112.17419
1	Box Elder	396.157	396.157	.069	41.9419	-112.17391
1	Box Elder	396.065	396.065	.092	41.94059	-112.17357
1	Box Elder	395.996	395.996	.069	41.93961	-112.17334
1	Box Elder	395.904	395.904	.091	41.9383	-112.17307
1	Box Elder	395.858	395.858	.046	41.93764	-112.17294
1	Box Elder	395.79	395.79	.069	41.93665	-112.17277
1	Box Elder	395.721	395.721	.069	41.93566	-112.17263
1	Box Elder	395.652	395.652	.069	41.93466	-112.17251
1	Box Elder	395.583	395.583	.069	41.93367	-112.1724
1	Box Elder	395.515	395.515	.068	41.93269	-112.17231
1	Box Elder	395.404	395.404	.111	41.93108	-112.17223
1	Box Elder	395.271	395.271	.133	41.92915	-112.17216
1	Box Elder	395.134	395.134	.137	41.92717	-112.17208
1	Box Elder	394.953	394.953	.182	41.92454	-112.17198
1	Box Elder	394.607	394.607	.346	41.91953	-112.1718
1	Box Elder	394.37	394.37	.237	41.9161	-112.17167
1	Box Elder	394.317	394.317	.053	41.91533	-112.17164
1	Box Elder	394.178	394.178	.139	41.91331	-112.17156
1	Box Elder	394.15	394.15	.028	41.91291	-112.17154
1	Box Elder	393.636	393.636	.514	41.90547	-112.17126
1	Box Elder	392.99	392.99	.646	41.89611	-112.1709
1	Box Elder	392.815	392.815	.175	41.89357	-112.17081
1	Box Elder	392.791	392.791	.024	41.89322	-112.1708
1	Box Elder	392.769	392.769	.021	41.89291	-112.17079
1	Box Elder	392.705	392.705	.065	41.89197	-112.17074
1	Box Elder	392.614	392.614	.09	41.89066	-112.17068
1	Box Elder	392.323	392.323	.291	41.88645	-112.17048
1	Box Elder	392.035	392.035	.288	41.88227	-112.17039
1	Box Elder	391.851	391.851	.184	41.8796	-112.17033
1	Box Elder	391.8	391.8	.051	41.87886	-112.17029
1	Box Elder	391.708	391.708	.092	41.87753	-112.17026
1	Box Elder	391.595	391.595	.113	41.87589	-112.17015
1	Box Elder	391.442	391.442	.153	41.87368	-112.17006
1	Box Elder	391.312	391.312	.13	41.87179	-112.17
1	Box Elder	391.205	391.205	.107	41.87024	-112.16993
1	Box Elder	391.078	391.078	.127	41.8684	-112.16987
1	Box Elder	390.966	390.966	.112	41.86678	-112.16981
1	Box Elder	390.87	390.87	.096	41.86539	-112.16978
1	Box Elder	390.751	390.751	.119	41.86367	-112.16981
1	Box Elder	390.648	390.648	.104	41.86217	-112.16989
1	Box Elder	390.525	390.525	.123	41.86039	-112.17005
1	Box Elder	390.469	390.469	.055	41.85959	-112.17014
1	Box Elder	390.38	390.38	.089	41.85831	-112.17032
1	Box Elder	390.293	390.293	.088	41.85705	-112.17052
1	Box Elder	390.274	390.274	.019	41.85678	-112.17057
1	Box Elder	390.201	390.201	.073	41.85573	-112.17078
