Day	Flow (Veh/Day)	# Lane Points (Veh/Day)	% Observed (Veh/Day)
01/01/2014	52959	1152	99
01/02/2014	83847	1152	100
01/03/2014	86669	1152	100
01/04/2014	68695	1152	100
01/05/2014	49294	1152	99
01/06/2014	81541	1152	100
01/07/2014	84792	1152	100
01/08/2014	73587	1152	99
01/09/2014	76522	1152	100
01/10/2014	89463	1152	89
01/11/2014	67959	1152	100
01/12/2014	45630	1152	99
01/13/2014	83977	1152	89
01/14/2014	79445	1152	65
01/15/2014	83920	1152	93
01/16/2014	88919	1152	100
01/17/2014	93726	1152	100
01/18/2014	75389	1152	92
01/19/2014	51022	1152	100
01/20/2014	85159	1152	100
01/21/2014	89494	1152	96
01/22/2014	88985	1152	100
01/23/2014	88218	1152	99
01/24/2014	92443	1152	99
01/25/2014	74600	1152	100
01/26/2014	52059	1152	100
01/27/2014	84396	1152	100
01/28/2014	84518	1152	98
01/29/2014	81308	1152	38
01/30/2014	85200	1152	0
01/31/2014	96076	1152	73
02/01/2014	69500	1152	98
02/02/2014	50466	1152	100
02/03/2014	86141	1152	99
02/04/2014	79847	1152	100
02/05/2014	87787	1152	100
02/06/2014	88804	1152	100
02/07/2014	88545	1152	100
02/08/2014	73639	1152	100
02/09/2014	51284	1152	100
02/10/2014	83729	1152	100
02/11/2014	84927	1152	100
02/12/2014	91121	1152	100
02/13/2014	91163	1152	97
02/14/2014	99868	1152	100
02/15/2014	78984	1152	99
02/16/2014	53163	1152	99
02/17/2014	78619	1152	99
02/18/2014	88753	1152	98
02/19/2014	90781	1152	97
02/20/2014	90286	1152	99
02/21/2014	95329	1152	100
02/22/2014	77258	1152	100
02/23/2014	55461	1152	100
02/24/2014	87836	1152	100
02/25/2014	88106	1152	100
02/26/2014	91609	1152	99
02/27/2014	88504	1152	99
02/28/2014	98264	1152	100
03/01/2014	78134	1152	100
03/02/2014	55777	1152	100
03/03/2014	86076	1152	100
03/04/2014	86706	1152	100
03/05/2014	89684	1152	99
03/06/2014	87475	1152	100
03/07/2014	97183	1152	100
03/08/2014	79194	1152	100
03/09/2014	56097	1104	100
03/10/2014	90950	1152	100
03/11/2014	87107	1152	100
03/12/2014	89857	1152	100
03/13/2014	92548	1152	100
03/14/2014	96565	1152	99
03/15/2014	83133	1152	100
03/16/2014	58526	1152	100
03/17/2014	86520	1152	100
03/18/2014	88754	1152	100
03/19/2014	90032	1152	100
03/20/2014	89603	1152	99
03/21/2014	95438	1152	100
03/22/2014	80738	1152	100
03/23/2014	56016	1152	99
03/24/2014	87779	1152	100
03/25/2014	89155	1152	100
03/26/2014	93913	1152	100
03/27/2014	92345	1152	81
03/28/2014	95999	1152	95
03/29/2014	80428	1152	100
03/30/2014	53917	1152	100
03/31/2014	88586	1152	84
04/01/2014	83886	1152	100
04/02/2014	87183	1152	100
04/03/2014	91137	1152	100
04/04/2014	98480	1152	100
04/05/2014	78450	1152	99
04/06/2014	63474	1152	100
04/07/2014	85346	1152	99
04/08/2014	87945	1152	100
04/09/2014	78651	1152	100
04/10/2014	89766	1152	98
04/11/2014	93429	1152	94
04/12/2014	77244	1152	97
04/13/2014	52467	1152	97
04/14/2014	88679	1152	33
04/15/2014	85624	1152	100
04/16/2014	86642	1152	96
04/17/2014	90781	1152	97
04/18/2014	92362	1152	95
04/19/2014	77103	1152	100
04/20/2014	56299	1152	10
04/21/2014	83001	1152	75
04/22/2014	85331	1152	86
04/23/2014	19940	1152	91
04/24/2014	90811	1152	0
04/25/2014	93760	1152	90
04/26/2014	77501	1152	98
04/27/2014	53824	1152	95
04/28/2014	86502	1152	99
04/29/2014	87033	1152	83
04/30/2014	88044	1152	72
05/01/2014	91354	1152	100
05/02/2014	94960	1152	100
05/03/2014	81832	1152	100
05/04/2014	56693	1152	100
05/05/2014	84617	1152	100
05/06/2014	86077	1152	100
05/07/2014	84670	1152	100
05/08/2014	89932	1152	100
05/09/2014	91386	1152	100
05/10/2014	80433	1152	100
05/11/2014	59335	1152	100
05/12/2014	84406	1152	89
05/13/2014	89190	1152	100
05/14/2014	88783	1152	100
05/15/2014	89201	1152	89
05/16/2014	93860	1152	100
05/17/2014	80810	1152	100
05/18/2014	55601	1152	100
05/19/2014	84237	1152	100
05/20/2014	86879	1152	95
05/21/2014	88084	1152	100
05/22/2014	91402	1152	100
05/23/2014	90179	1152	100
05/24/2014	69575	1152	100
05/25/2014	53671	1152	100
05/26/2014	64536	1152	100
05/27/2014	86203	1152	100
05/28/2014	88764	1152	100
05/29/2014	90747	1152	100
05/30/2014	91670	1152	100
05/31/2014	75607	1152	100
06/01/2014	55728	1152	100
06/02/2014	85620	1152	100
06/03/2014	87920	1152	100
06/04/2014	89645	1152	100
06/05/2014	91759	1152	100
06/06/2014	93994	1152	100
06/07/2014	78408	1152	100
06/08/2014	60459	1152	100
06/09/2014	85864	1152	100
06/10/2014	88849	1152	100
06/11/2014	87724	1152	100
06/12/2014	91087	1152	100
06/13/2014	93467	1152	100
06/14/2014	80660	1152	100

