Fwy	District	County	City	State PM	Abs PM	Length	ID	Name	Lanes	Type	HOV	Traffic.com ID
I15-N	1	Washington		1.69	1.69	2.619	790	I-15 NB @ Atkinville	2	Mainline	No	
I15-N	1	Washington		3.06	3.06	1.82	792	I-15 NB @ Sunriver Parkway	2	Mainline	No	
I15-N	1	Washington		5.33	5.33	1.87	793	I-15 NB @ Virgin River	2	Mainline	No	
I15-N	1	Washington		6.80	6.8	2.085	794	I-15 NB @ 1100 S	2	Mainline	No	
I15-N	1	Washington		9.50	9.5	3.85	795	I-15 NB @ 1680 E	2	Mainline	No	
I15-N	1	Davis		28.50	28.5		3452	EB I-215-N TO NB I-15 CONNECTOR	2	Fwy-Fwy	No	24585
I15-N	1	Utah		248.18	248.18	3.91	646	I-15 NB 800 South - Payson MP 24	2	Mainline	No	
I15-N	1	Utah		251.00	251	2.7	644	I-15 NB Main St - Payson MP 251.	3	Mainline	No	
I15-N	1	Utah		253.58	253.58	2	642	I-15 NB SR-164/8000 S - Benjamin	3	Mainline	No	
I15-N	1	Utah		255.00	255	.965	640	I-15 NB 600 S - SPF  MP 255	3	Mainline	No	
I15-N	1	Utah		255.51	255.51	.575	3103171	I-15 NB S of 6800 S - SPF MP 255	3	Mainline	No	
I15-N	1	Utah		256.15	256.15	.495	3103173	I-15 NB S of 6400 S - SPF MP 256	3	Mainline	No	
I15-N	1	Utah		256.50	256.5	.435	3103230	I-15 NB N of 6400 S - SPF MP 256	3	Mainline	No	
I15-N	1	Utah		257.02	257.02	.475	3103229	I-15 NB S of SF Main - SPF MP 25	3	Mainline	No	
I15-N	1	Utah		257.45	257.45	.45	3103228	I-15 NB S of US-6 - SPF MP 257.4	3	Mainline	No	
I15-N	1	Utah		257.92	257.92	2.84	993103227	I-15 NB HOV N of US-6 - SPF MP 2	1	HOV	24H	
I15-N	1	Utah		257.92	257.92	.575	3103227	I-15 NB N of US-6 - SPF MP 257.9	5	Mainline	No	
I15-N	1	Utah		258.60	258.6	.555	993103226	I-15 NB HOV S of 2700 N - SPF MP	1	HOV	24H	
I15-N	1	Utah		258.60	258.6	.555	3103226	I-15 NB S of 2700 N - SPF MP 258	5	Mainline	No	
I15-N	1	Utah		259.03	259.03	.55	993103225	I-15 NB N HOV of 2700 N - SPF MP	1	HOV	24H	
I15-N	1	Utah		259.03	259.03	.55	3103225	I-15 NB N of 2700 N - SPF MP 259	5	Mainline	No	
I15-N	1	Utah		259.70	259.7	.585	993103224	I-15 NB HOV S of SR-77 - SPV MP	1	HOV	24H	
I15-N	1	Utah		259.70	259.7	.585	3103224	I-15 NB S of SR-77 - SPV MP 259.	5	Mainline	No	
I15-N	1	Utah		260.20	260.2	.475	993103223	I-15 NB HOV N of SR-77 - SPV MP	1	HOV	24H	
I15-N	1	Utah		260.20	260.2	.475	3103223	I-15 NB N of SR-77 - SPV MP 260.	5	Mainline	No	
I15-N	1	Utah		260.65	260.65	.45	993103222	I-15 NB HOV 300 N - SPV MP 260.6	1	HOV	24H	
I15-N	1	Utah		260.65	260.65	.45	3103222	I-15 NB 300 N - SPV MP 260.65	5	Mainline	No	
I15-N	1	Utah		261.10	261.1	.45	3103221	I-15 NB 800 N - SPV MP 261.1	5	Mainline	No	
I15-N	1	Utah		261.10	261.1	.45	993103221	I-15 NB HOV 800 N - SPV MP 261.1	1	HOV	24H	
I15-N	1	Utah		261.55	261.55	.5	3103220	I-15 NB S of 1400 N - SPV MP 261	5	Mainline	No	
I15-N	1	Utah		261.55	261.55	.5	993103220	I-15 NB HOV S of 1400 N - SPV MP	1	HOV	24H	
I15-N	1	Utah		262.10	262.1	.5	3103219	I-15 NB N of 1400 N - SPV MP 262	5	Mainline	No	
I15-N	1	Utah		262.10	262.1	.5	993103219	I-15 NB HOV N of 1400 N - SPV MP	1	HOV	24H	
I15-N	1	Utah		262.55	262.55	.5	3103218	I-15 NB 2000 S - PVO MP 262.55	6	Mainline	No	
I15-N	1	Utah		262.55	262.55	.5	993103218	I-15 NB HOV 2000 S - PVO MP 262.	1	HOV	24H	
I15-N	1	Utah		263.10	263.1	.55	993103217	I-15 NB HOV S of 1860 S  - PVO M	1	HOV	24H	
I15-N	1	Utah		263.10	263.1	.42	3103217	I-15 NB S of 1860 S  - PVO MP 26	5	Mainline	No	
I15-N	1	Utah		263.39	263.39	.275	698	NB I-15 @ University Ave 1860 So	4	Mainline	No	34133
I15-N	1	Utah		263.65	263.65	.38	3103216	I-15 NB N of 1860 S - PVO MP 263	5	Mainline	No	
I15-N	1	Utah		263.65	263.65	.525	993103216	I-15 NB HOV N of 1860 S - PVO MP	1	HOV	24H	
I15-N	1	Utah		264.15	264.15	.445	993103215	I-15 NB HOV 500 W - PVO MP 264.1	1	HOV	24H	
I15-N	1	Utah		264.15	264.15	.445	3103215	I-15 NB 500 W - PVO MP 264.15	5	Mainline	No	
I15-N	1	Utah		264.54	264.54	.45	993103214	I-15 NB HOV N of 920 S - PVO 264	1	HOV	24H	
I15-N	1	Utah		264.54	264.54	.45	3103214	I-15 NB N of 920 S - PVO MP 264.	5	Mainline	No	
I15-N	1	Utah		265.05	265.05	.41	3103213	I-15 NB 600 S - PVO MP 265.05	5	Mainline	No	
I15-N	1	Utah		265.05	265.05	.41	993103213	I-15 NB HOV 600 S - PVO MP 265.0	1	HOV	24H	
I15-N	1	Utah		265.36	265.36	1.07	3103212	I-15 NB S of Center St - PVO MP	5	Mainline	No	
I15-N	1	Utah		265.36	265.36	1.07	993103212	I-15 NB HOV S of Center St - PVO	1	HOV	24H	
I15-N	1	Utah		267.19	267.19	1	993103208	I-15 NB HOV 1460 N - PVO MP 267.	1	HOV	24H	
I15-N	1	Utah		267.19	267.19	1	3103208	I-15 NB 1460 N - PVO MP 267.19	5	Mainline	No	
I15-N	1	Utah		267.36	267.36	.335	3103207	I-15 NB 1700 N - PVO MP 267.36	5	Mainline	No	
I15-N	1	Utah		267.36	267.36	.335	993103207	I-15 NB HOV 1700 N - PVO MP 267.	1	HOV	24H	
I15-N	1	Utah		267.86	267.86	.505	3103206	I-15 NB 2000 S - ORM MP 267.86	5	Mainline	No	
I15-N	1	Utah		267.86	267.86	.505	993103206	I-15 NB HOV 2000 S - ORM MP 267.	1	HOV	24H	
I15-N	1	Utah		268.37	268.37	.485	993103205	I-15 NB HOV 1600 S - ORM MP 268.	1	HOV	24H	
I15-N	1	Utah		268.37	268.37	1.045	3103205	I-15 NB 1600 S - ORM MP 268.37	5	Mainline	No	
I15-N	1	Utah		268.83	268.83	.495	993103204	I-15 NB HOV S of Univ Pkwy - ORM	1	HOV	24H	
I15-N	1	Utah		269.36	269.36	.56	993103203	I-15 NB HOV N of Univ Pkwy - ORM	1	HOV	24H	
I15-N	1	Utah		269.95	269.95	2.65	3103168	I-15 NB 585 S - ORM MP 269.95	7	Mainline	No	
I15-N	1	Utah		269.95	269.95	1.6	993103168	I-15 NB HOV 585 S - ORM MP 269.9	1	HOV	24H	
I15-N	1	Utah		272.56	272.56	1.545	993103157	I-15 NB HOV S of 1600 N - ORM MP	1	HOV	24H	
I15-N	1	Utah		273.04	273.04	.555	993103155	I-15 NB HOV N of 1600 N - ORM MP	1	HOV	24H	
I15-N	1	Utah		273.67	273.67	2.1	3103158	I-15 NB 200 S - LDN MP 273.67	6	Mainline	No	
I15-N	1	Utah		273.67	273.67	.785	993103158	I-15 NB HOV 200 S - LDN MP 273.6	1	HOV	24H	
I15-N	1	Utah		274.15	274.15	.715	3103150	I-15 NB 100 N - LDN MP 274.15	6	Mainline	No	
I15-N	1	Utah		274.61	274.61	.715	993103142	I-15 NB HOV 300 N - PLG MP 274.6	1	HOV	24H	
I15-N	1	Utah		275.10	275.1	.495	993103146	I-15 NB HOV S of PG Blvd - PLG M	1	HOV	24H	
I15-N	1	Utah		275.10	275.1	.725	3103146	I-15 NB S of PG Blvd - PLG MP 27	6	Mainline	No	
I15-N	1	Utah		275.60	275.6	.59	993103140	I-15 NB HOV N of PG Blvd - PLG M	1	HOV	24H	
I15-N	1	Utah		275.60	275.6	.59	3103140	I-15 NB N of PG Blvd - PLG MP 27	6	Mainline	No	
I15-N	1	Utah		276.28	276.28	.575	3103136	I-15 NB S of 500 E - AFK MP 276.	6	Mainline	No	
I15-N	1	Utah		276.28	276.28	.575	993103136	I-15 NB HOV S of 500 E - AFK MP	1	HOV	24H	
I15-N	1	Utah		276.75	276.75	.48	3103134	I-15 NB N of 500 E - AFK MP 276.	6	Mainline	No	
I15-N	1	Utah		276.75	276.75	.48	993103134	I-15 NB HOV N of 500 E - AFK MP	1	HOV	24H	
I15-N	1	Utah		277.24	277.24	.48	3103132	I-15 NB 100 E - AFK MP 277.24	6	Mainline	No	
I15-N	1	Utah		277.24	277.24	.48	993103132	I-15 NB HOV 100 E - AFK MP 277.2	1	HOV	24H	
I15-N	1	Utah		277.71	277.71	.57	993103130	I-15 NB HOV 200 W - AFK MP 277.7	1	HOV	24H	
I15-N	1	Utah		277.71	277.71	.57	3103130	I-15 NB 200 W - AFK MP 277.71	6	Mainline	No	
I15-N	1	Utah		278.38	278.38	.49	3103138	I-15 NB S of Main St - AFK MP 27	5	Mainline	No	
I15-N	1	Utah		278.38	278.38	.49	993103138	I-15 NB HOV S of Main St - AFK M	1	HOV	24H	
I15-N	1	Utah		278.69	278.69	.47	99799	I-15 NB HOV N of Main St - AFK M	1	HOV	24H	
I15-N	1	Utah		278.69	278.69	.47	799	I-15 NB N of Main St - AFK MP 27	5	Mainline	No	41478
I15-N	1	Utah		278.80	278.8		1799	NB I-15 On Ramp @ Pioneer Crossi	2	On Ramp	No	41380
I15-N	1	Utah		279.32	279.32	.39	3103128	I-15 NB 400 S - LHI MP 279.32	5	Mainline	No	
I15-N	1	Utah		279.32	279.32	.39	993103128	I-15 NB HOV 400 S - LHI MP 279.3	1	HOV	24H	
I15-N	1	Utah		279.47	279.47	.325	3103126	I-15 NB S of Lehi Main - LHI MP	5	Mainline	No	
I15-N	1	Utah		279.47	279.47	.325	993103126	I-15 NB HOV S of Lehi Main - LHI	1	HOV	24H	
I15-N	1	Utah		279.97	279.97	.44	993103124	I-15 NB HOV N of Lehi Main - LHI	1	HOV	24H	
I15-N	1	Utah		279.97	279.97	.44	3103124	I-15 NB N of Lehi Main - LHI MP	4	Mainline	No	
I15-N	1	Utah		280.35	280.35	.575	99704	NB I-15 HOV @ 600 East - Lehi	1	HOV	24H	39331
